AISelect,RemoteWork,EdLevel,YearsCodePro,ConvertedCompYearly,JobSat
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,9.830545694833951,64572.74381807167,10.0
"No, but I plan to soon",Remote,Primary/elementary school,7.036152746049229,,5.0
"No, and I don't plan to",Remote,Primary/elementary school,11.259506957160951,94636.67965932506,5.0
"No, and I don't plan to",Remote,Primary/elementary school,1.0,74217.76697197734,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.3973040355257478,58824.494187169235,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,7.057328239376626,96066.75893081563,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.670694793935146,,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.387988350757833,82931.22180520219,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.699271075235111,58646.031786320986,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.658620621434276,107993.24221704733,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.442393827879206,111037.62851662798,6.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.36361961961807,96043.68459278278,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.5879061781180086,71711.08630095713,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.436080610223755,93254.42199042975,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0487646616479207,66739.6222703965,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.139114183220038,130395.82221562535,4.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.8519297224489346,56151.22080748425,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.975262794001832,101630.8643244397,9.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.448419787298068,98334.32666417676,7.0
